,filename,true_label,pred_label,confidence,text_source,alpha,extracted_text
1677,positive_147.jpg,Positive,Neutral,0.6206365,BLIP,0.5,a man in a suit and tie smiling
1686,positive_066.jpg,Positive,Negative,0.520221,BLIP,0.5,a group of people standing around a shack
1712,negative_575.jpg,Negative,Neutral,0.90570605,OCR,0.5,"when you accidentally open a
message and now you have to reply"
1743,positive_161.jpg,Positive,Neutral,0.5949307,BLIP,0.5,a woman with a tennis racket and a tennis racket
1749,positive_538.jpeg,Positive,Neutral,0.83720994,OCR,0.5,"DIFFERENT DEPICTIONS OF HALLUCIGENIA
BY LINARYTHISMS
(Conway Morris, 1997)
(Ramsköld, 1992)
(Smith & Caron, 2015)
(Isayama, 2020)
LinaryThisms"
1757,negative_593.jpeg,Negative,Neutral,0.6427313,OCR,0.5,"When you ask your husband if he's cheating
on you but he just hits you in the face
All right, then. Keep your secrets."
1758,neutral_097.jpeg,Neutral,Negative,0.62182915,BLIP,0.5,a speedboat speeding across the water
1761,negative_124.jpeg,Negative,Neutral,0.8650885,OCR,0.5,"амс
EL CAMINO
What the hell is this?
What?
This is my product"
1767,positive_057.jpg,Positive,Neutral,0.52041507,OCR,0.5,Lubo
1839,positive_011.jpeg,Positive,Neutral,0.3908419,BLIP,0.5,a group of people gathered around a cake
1841,neutral_054.jpg,Neutral,Negative,0.68681103,OCR,0.5,AIR NEW ZEALAN
1857,neutral_085.jpg,Neutral,Negative,0.6042788,BLIP,0.5,a man walking down the street
1858,negative_089.jpg,Negative,Neutral,0.5121859,OCR,0.5,"W
KÁ 05 AG 9842
TRUCK
EVERY NEE
nd the app
Ap Store
empo new
4410"
1876,positive_124.jpeg,Positive,Negative,0.5961863,OCR,0.5,"NEVER JUDGE SOMEONE WITHOUT
KNOWING THE WHOLE STORY
@successpictures
He is so negative
Yes, he is weird
Let's not talk to him
GROWING UP
WITHOUT
FAMILY
LOSS
LOST
HIS
JOB
BREAKUP
OF A
CLOSE ONE
@successpictures
@successpictures
BUSINESS
NO MONEY
BANKRUPT
TO LIVE"
1891,positive_040.jpeg,Positive,Neutral,0.435679,BLIP,0.5,the voice contestant is all smiles as she sings
1912,positive_061.jpg,Positive,Negative,0.8506583,BLIP,0.5,a man in a red jacket and helmet is walking through a muddy road
1921,positive_023.jpeg,Positive,Neutral,0.6219512,OCR,0.5,"rout
THE"
1944,negative_590.jpeg,Negative,Neutral,0.7167744,OCR,0.5,"Say ""Community Standards"" again
Motherfucker!
C
Aussie Stuff for Aussies"
1980,positive_159.jpg,Positive,Neutral,0.5613895,BLIP,0.5,a man and woman are smiling for the camera
2007,negative_094.jpg,Negative,Neutral,0.47774562,BLIP,0.5,a boy sitting on a ledge
2012,neutral_731.jpg,Neutral,Negative,0.5703598,OCR,0.5,"CIVILIZATION
IN ANTARCTICA?"
2033,negative_108.jpeg,Negative,Neutral,0.4843269,OCR,0.5,"Me when my client says
they've seen a project very
similar on Github
PYCODERS"
